iter	Passed	Remaining
406	3982	5802
407	3992	5792
408	3999	5778
409	4008	5767
410	4016	5755
411	4025	5745
412	4033	5733
413	4042	5722
414	4054	5715
415	4064	5705
416	4074	5697
417	4082	5683
418	4092	5674
419	4099	5660
420	4108	5649
421	4114	5635
422	4123	5625
423	4129	5610
424	4138	5599
425	4145	5586
426	4158	5580
427	4169	5571
428	4177	5560
429	4188	5552
430	4195	5538
431	4204	5528
432	4211	5514
433	4221	5505
434	4228	5492
435	4238	5482
436	4244	5468
437	4254	5459
438	4261	5445
439	4271	5435
440	4277	5421
441	4287	5412
442	4293	5398
443	4302	5387
444	4308	5373
445	4318	5364
446	4325	5351
447	4334	5340
448	4340	5326
449	4351	5317
450	4358	5305
451	4367	5295
452	4374	5282
453	4385	5273
454	4391	5260
455	4400	5250
456	4406	5236
457	4416	5226
458	4423	5213
459	4433	5205
460	4441	5192
461	4450	5183
462	4457	5170
463	4466	5159
464	4473	5147
465	4484	5138
466	4490	5125
467	4500	5115
468	4506	5102
469	4516	5093
470	4523	5079
471	4532	5070
472	4538	5056
473	4548	5046
474	4554	5033
475	4563	5023
476	4569	5010
477	4580	5001
478	4586	4988
479	4596	4979
480	4602	4966
481	4612	4956
482	4619	4945
483	4629	4935
484	4636	4923
485	4647	4914
486	4656	4905
487	4663	4892
488	4669	4879
489	4679	4870
490	4686	4858
491	4695	4848
492	4702	4835
493	4712	4827
494	4719	4814
495	4727	4804
496	4734	4791
497	4743	4782
498	4750	4769
499	4758	4758
500	4765	4746
501	4774	4736
502	4781	4724
503	4790	4714
504	4796	4701
505	4806	4692
506	4814	4681
507	4823	4671
508	4830	4659
509	4840	4650
510	4846	4637
511	4855	4628
512	4862	4615
513	4872	4606
514	4878	4594
515	4888	4585
516	4894	4572
517	4905	4564
518	4913	4553
519	4922	4543
520	4929	4532
521	4941	4525
522	4953	4517
523	4961	4507
524	4973	4500
525	4984	4491
526	4991	4480
527	5003	4473
528	5011	4462
529	5023	4454
530	5037	4449
531	5045	4438
532	5054	4428
533	5060	4416
534	5069	4406
535	5076	4394
536	5084	4384
537	5091	4371
538	5100	4362
539	5107	4350
540	5116	4341
541	5123	4329
542	5135	4321
543	5142	4310
544	5151	4300
545	5157	4288
546	5167	4279
547	5173	4267
548	5182	4257
549	5188	4245
550	5198	4236
551	5205	4224
552	5215	4216
553	5222	4204
554	5233	4196
555	5239	4184
556	5248	4174
557	5254	4162
558	5264	4153
559	5270	4141
560	5279	4131
561	5285	4119
562	5297	4111
563	5303	4100
564	5312	4090
565	5319	4078
566	5330	4070
567	5336	4059
568	5345	4049
569	5352	4037
570	5362	4028
571	5369	4017
572	5378	4008
573	5385	3996
574	5394	3987
575	5401	3975
576	5409	3965
577	5416	3954
578	5428	3946
579	5434	3935
580	5444	3926
581	5450	3914
582	5461	3906
583	5468	3895
584	5476	3885
585	5483	3873
586	5493	3864
587	5499	3853
588	5508	3843
589	5514	3831
590	5524	3823
591	5531	3811
592	5541	3803
593	5548	3792
594	5559	3784
595	5566	3773
596	5574	3763
597	5581	3751
598	5590	3742
599	5597	3731
600	5608	3723
601	5616	3712
602	5625	3703
603	5635	3694
604	5643	3684
605	5654	3676
606	5662	3666
607	5671	3656
608	5678	3645
609	5689	3637
610	5695	3626
611	5705	3617
612	5712	3606
613	5721	3596
614	5727	3585
615	5736	3575
616	5742	3564
617	5752	3556
618	5760	3545
619	5770	3536
620	5777	3526
621	5788	3517
622	5795	3506
623	5803	3496
624	5810	3486
625	5820	3477
626	5832	3469
627	5839	3458
628	5852	3451
629	5873	3449
630	5884	3440
631	5890	3430
632	5899	3420
633	5906	3409
634	5916	3400
635	5922	3389
636	5932	3380
637	5938	3369
638	5948	3360
639	5955	3349
640	5965	3341
641	5973	3330
642	5983	3321
643	5989	3310
644	5998	3301
645	6004	3290
646	6014	3281
647	6022	3271
648	6032	3262
649	6039	3251
650	6048	3242
651	6056	3232
652	6067	3224
653	6078	3215
654	6085	3205
655	6095	3196
656	6102	3185
657	6112	3177
658	6119	3166
659	6128	3157
660	6134	3146
661	6145	3137
662	6152	3127
663	6161	3117
664	6167	3106
665	6178	3098
666	6185	3088
667	6194	3078
668	6201	3068
669	6210	3059
670	6217	3048
671	6228	3040
672	6234	3029
673	6244	3020
674	6251	3009
675	6260	3000
676	6267	2990
677	6278	2981
678	6285	2971
679	6293	2961
680	6300	2951
681	6310	2942
682	6317	2932
683	6325	2922
684	6331	2911
685	6341	2902
686	6348	2892
687	6357	2882
688	6364	2872
689	6373	2863
690	6380	2853
691	6389	2843
692	6396	2833
693	6406	2824
694	6412	2814
695	6422	2805
696	6429	2795
697	6439	2785
698	6445	2775
699	6455	2766
700	6461	2756
701	6473	2748
702	6482	2738
703	6490	2728
704	6497	2718
705	6506	2709
706	6513	2699
707	6521	2689
708	6527	2679
709	6537	2670
710	6543	2659
711	6552	2650
712	6558	2639
713	6568	2631
714	6575	2620
715	6584	2611
716	6591	2601
717	6602	2592
718	6609	2583
719	6619	2574
720	6625	2563
721	6636	2555
722	6642	2545
723	6652	2536
724	6658	2525
725	6668	2516
726	6674	2506
727	6683	2497
728	6690	2487
729	6703	2479
730	6713	2470
731	6726	2462
732	6733	2452
733	6746	2444
734	6763	2438
735	6776	2430
736	6784	2420
737	6792	2411
738	6800	2401
739	6809	2392
740	6816	2382
741	6823	2372
742	6831	2362
743	6839	2353
744	6847	2343
745	6855	2334
746	6862	2324
747	6870	2314
748	6878	2305
749	6885	2295
750	6891	2285
751	6899	2275
752	6906	2265
753	6917	2256
754	6926	2247
755	6934	2238
756	6941	2228
757	6949	2218
758	6957	2209
759	6966	2199
760	6975	2190
761	6982	2180
762	6989	2171
763	7003	2163
764	7016	2155
765	7024	2146
766	7034	2137
767	7043	2127
768	7051	2118
769	7060	2109
770	7069	2099
771	7077	2090
772	7084	2080
773	7091	2070
774	7098	2060
775	7105	2051
776	7113	2041
777	7120	2031
778	7128	2022
779	7135	2012
780	7141	2002
781	7148	1992
782	7154	1982
783	7161	1972
784	7167	1963
785	7173	1953
786	7180	1943
787	7188	1933
788	7195	1924
789	7209	1916
790	7222	1908
791	7231	1899
792	7255	1894
793	7264	1884
794	7272	1875
795	7279	1865
796	7285	1855
797	7292	1845
798	7298	1835
799	7304	1826
800	7311	1816
801	7318	1806
802	7325	1797
803	7331	1787
804	7338	1777
805	7344	1767
806	7352	1758
807	7358	1748
808	7364	1738
809	7371	1729
810	7377	1719
811	7384	1709
812	7390	1699
813	7396	1690
814	7402	1680
815	7408	1670
816	7415	1660
817	7421	1651
818	7427	1641
819	7434	1631
820	7440	1622
821	7447	1612
822	7454	1603
823	7461	1593
824	7468	1584
825	7474	1574
826	7480	1564
827	7486	1555
828	7493	1545
829	7499	1536
830	7506	1526
831	7512	1516
832	7518	1507
833	7524	1497
834	7531	1488
835	7537	1478
836	7543	1469
837	7550	1459
838	7556	1449
839	7562	1440
840	7569	1431
841	7575	1421
842	7581	1412
843	7588	1402
844	7594	1393
845	7601	1383
846	7608	1374
847	7614	1364
848	7620	1355
849	7627	1345
850	7634	1336
851	7640	1327
852	7648	1318
853	7655	1308
854	7662	1299
855	7669	1290
856	7675	1280
857	7682	1271
858	7688	1261
859	7695	1252
860	7701	1243
861	7707	1233
862	7713	1224
863	7720	1215
864	7726	1205
865	7732	1196
866	7738	1187
867	7745	1177
868	7752	1168
869	7758	1159
870	7764	1150
871	7772	1140
872	7782	1132
873	7793	1123
874	7813	1116
875	7828	1108
876	7836	1099
877	7849	1090
878	7857	1081
879	7866	1072
880	7878	1064
881	7884	1054
882	7894	1046
883	7901	1036
884	7912	1028
885	7919	1019
886	7929	1010
887	7936	1000
888	7945	992
889	7952	982
890	7963	974
891	7977	965
892	7985	956
893	7997	948
894	8008	939
895	8015	930
896	8027	921
897	8038	913
898	8046	903
899	8060	895
900	8071	886
901	8079	877
902	8091	869
903	8100	860
904	8109	851
905	8116	842
906	8126	833
907	8137	824
908	8144	815
909	8154	806
910	8162	797
911	8172	788
912	8180	779
913	8194	771
914	8205	762
915	8227	754
916	8241	745
917	8255	737
918	8267	728
919	8276	719
920	8288	710
921	8303	702
922	8311	693
923	8327	684
924	8344	676
925	8356	667
926	8372	659
927	8388	650
928	8401	642
929	8414	633
930	8432	624
931	8442	615
932	8459	607
933	8472	598
934	8487	590
935	8501	581
936	8516	572
937	8528	563
938	8537	554
939	8551	545
940	8567	537
941	8584	528
942	8601	519
943	8617	511
944	8633	502
945	8652	493
946	8666	485
947	8680	476
948	8693	467
949	8703	458
950	8717	449
951	8729	440
952	8748	431
953	8760	422
954	8771	413
955	8782	404
956	8796	395
957	8807	386
958	8817	376
959	8828	367
960	8835	358
961	8847	349
962	8863	340
963	8878	331
964	8891	322
965	8898	313
966	8910	304
967	8919	294
968	8927	285
969	8937	276
970	8946	267
971	8957	258
972	8964	248
973	8979	239
974	8990	230
975	8997	221
976	9009	212
977	9016	202
978	9024	193
979	9038	184
980	9049	175
981	9061	166
982	9071	156
983	9078	147
984	9087	138
985	9094	129
986	9104	119
987	9111	110
988	9125	101
989	9136	92
990	9144	83
991	9156	73
992	9168	64
993	9176	55
994	9187	46
995	9195	36
996	9204	27
997	9211	18
998	9221	9
999	9228	0
